Protein1,Protein2,Class
Q07869,Q6PH85,0
Q07955,Q14376,0
Q07955,Q8TE58,0
Q08117,Q6ZP65,0
Q08117,Q9UHV8,0
Q08170,Q86UP8,0
Q08188,Q6XCG6,0
Q08289,Q8NGM9,0
Q08345,Q8N6M9,0
Q08345,Q8TAF8,0
Q08378,Q9Y4C1,0
Q08379,Q9Y248,0
Q08397,Q8IUQ0,0
Q08426,Q9Y5S8,0
Q08493,Q13261,0
Q08554,Q5EG05,0
Q08623,Q9BQI9,0
Q08708,Q9BZV1,0
Q08722,Q5H943,0
Q08722,Q8IWL2,0
Q08AF8,Q99418,0
Q08AG7,Q8IZV5,0
Q08AI8,Q9BXC1,0
Q08E93,Q9HAU6,0
Q08E93,Q9UK73,0
Q09328,Q8N257,0
Q09470,Q99645,0
Q0D2H9,Q5M9Q1,0
Q0D2H9,Q7Z6M4,0
Q0D2K2,Q7L1T6,0
Q0D2K5,Q9NVG8,0
Q0IIM8,Q14153,0
Q0IIM8,Q8IYM0,0
Q0IIM8,Q9UKP5,0
Q0JRZ9,Q8NEF3,0
Q0P5N6,Q9BSD7,0
Q0P641,Q86UA6,0
Q0P6D2,Q6ZUS6,0
Q0VAA2,Q7Z2W4,0
Q0VAA5,Q15185,0
Q0VDG4,Q6P988,0
Q0VDG4,Q8TC57,0
Q0VG06,Q6NXP6,0
Q0VG99,Q9H4Y5,0
Q0VGL1,Q8TED9,0
Q0WX57,Q9NPZ5,0
Q0Z7S8,Q92503,0
Q10469,Q8WVF2,0
Q10469,Q9ULD5,0
Q10471,Q92604,0
Q10472,Q8NFF2,0
Q10571,Q86T26,0
Q10586,Q96P47,0
Q10587,Q9NP77,0
Q10588,Q6UWZ7,0
Q11206,Q9Y548,0
Q12772,Q9NYB9,0
Q12791,Q96EF0,0
Q12792,Q8N488,0
Q12797,Q8IY34,0
Q12800,Q8TDE3,0
Q12830,Q9BR09,0
Q12841,Q4VXF1,0
Q12846,Q5JU67,0
Q12846,Q9Y6D5,0
Q12884,Q9H1C4,0
Q12887,Q5T7N2,0
Q12888,Q16667,0
Q12893,Q9UNK9,0
Q12894,Q9BST9,0
Q12904,Q96AB6,0
Q12907,Q15818,0
Q12907,Q9UKK9,0
Q12908,Q8N412,0
Q12912,Q8WU67,0
Q12912,Q9UJD0,0
Q12918,Q9BY77,0
Q12931,Q9BW30,0
Q12934,Q96AE4,0
Q12947,Q9Y2E4,0
Q12948,Q92888,0
Q12951,Q6SJ96,0
Q12959,Q8NGY0,0
Q12959,Q9H0X6,0
Q12968,Q9ULP9,0
Q12972,Q9Y314,0
Q12979,Q96LW7,0
Q12982,Q9BW83,0
Q12986,Q8TED0,0
Q13003,Q9BWT7,0
Q13007,Q96BF3,0
Q13021,Q8TDB4,0
Q13029,Q9Y250,0
Q13042,Q99784,0
Q13043,Q8N6R1,0
Q13046,Q13214,0
Q13087,Q6PL24,0
Q13087,Q99983,0
Q13087,Q9BZD2,0
Q13099,Q5VSR9,0
Q13115,Q8TBE3,0
Q13126,Q9Y3Y2,0
Q13131,Q13607,0
Q13133,Q9NWV8,0
Q13136,Q53FV1,0
Q13136,Q8WUH1,0
Q13148,Q15319,0
Q13155,Q8N688,0
Q13155,Q93050,0
Q13156,Q16385,0
Q13164,Q86SJ6,0
Q13190,Q49AM3,0
Q13191,Q15906,0
Q13201,Q13361,0
Q13206,Q96EP0,0
Q13219,Q99614,0
Q13219,Q9H089,0
Q13224,Q5T2D2,0
Q13224,Q8NEY8,0
Q13224,Q99075,0
Q13228,Q5W0A0,0
Q13228,Q8N1A0,0
Q13232,Q8N126,0
Q13257,Q9Y342,0
Q13277,Q15042,0
Q13277,Q6NUI6,0
Q13277,Q8WTX9,0
Q13277,Q9UHE8,0
Q13285,Q8TAC2,0
Q13303,Q9H2I8,0
Q13319,Q9H324,0
Q13322,Q14596,0
Q13322,Q9P2H3,0
Q13322,Q9UDW3,0
Q13323,Q8N2G6,0
Q13323,Q9H2X8,0
Q13326,Q8NA82,0
Q13330,Q96Q04,0
Q13332,Q8TF17,0
Q13342,Q9BTY7,0
Q13352,Q8IXB3,0
Q13352,Q9HCN8,0
Q13352,Q9UBI6,0
Q13361,Q9BYD6,0
Q13368,Q8N8Z6,0
Q13370,Q15464,0
Q13371,Q9H6D7,0
Q13404,Q2NL68,0
Q13404,Q9H9F9,0
Q13405,Q96PZ0,0
Q13409,Q13683,0
Q13418,Q9UKU6,0
Q13421,Q8WZ92,0
Q13422,Q3C1V0,0
Q13432,Q8IXR9,0
Q13434,Q9NRL2,0
Q13435,Q9H7B4,0
Q13444,Q99487,0
Q13454,Q68J44,0
Q13459,Q9BPX6,0
Q13467,Q9P0K9,0
Q13469,Q9GZZ7,0
Q13470,Q92535,0
Q13470,Q9BQL6,0
Q13480,Q969E1,0
Q13480,Q96RE7,0
Q13488,Q9Y4W6,0
Q13490,Q9Y239,0
Q13505,Q8WTQ7,0
Q13516,Q9NRR1,0
Q13523,Q86VB7,0
Q13526,Q5FWF7,0
Q13535,Q99523,0
Q13555,Q14678,0
Q13561,Q6NXN4,0
Q13562,Q68DK2,0
Q13562,Q6IPU0,0
Q13562,Q96NT0,0
Q13563,Q9NRM2,0
Q13568,Q16864,0
Q13568,Q8N8E3,0
Q13568,Q8NGK5,0
Q13569,Q15649,0
Q13571,Q9H9C1,0
Q13574,Q17R55,0
Q13591,Q96Q83,0
Q13595,Q9BQ67,0
Q13601,Q6ZMY9,0
Q13601,Q9UIY3,0
Q13613,Q8NCG7,0
Q13615,Q16706,0
Q13615,Q96MT3,0
Q13616,Q9BZM2,0
Q13618,Q9HC73,0
Q13637,Q8NGZ6,0
Q13685,Q8IUR5,0
Q13698,Q86Y39,0
Q13702,Q5VTR2,0
Q13705,Q9BQ13,0
Q13733,Q14406,0
Q13751,Q7Z3T8,0
Q13751,Q96PT3,0
Q13761,Q7L4P6,0
Q13769,Q92791,0
Q13795,Q8IYK8,0
Q13795,Q9NQS3,0
Q13822,Q5JS13,0
Q13822,Q8IZL2,0
Q13822,Q969R5,0
Q13825,Q2NKX9,0
Q13835,Q96AY4,0
Q13868,Q8N4H0,0
Q13873,Q14134,0
Q13873,Q9NWT6,0
Q13875,Q8TBE9,0
Q13875,Q9BQD1,0
Q13882,Q2M3D2,0
Q13884,Q6ZS11,0
Q13886,Q2TB10,0
Q13886,Q8N3J5,0
Q13895,Q9ULD8,0
Q13901,Q9NWV8,0
Q13939,Q6NUQ4,0
Q13946,Q9HDC9,0
Q13948,Q6PJF5,0
Q13950,Q6UXH1,0
Q13951,Q8TEV8,0
Q13952,Q76G19,0
Q14004,Q68G74,0
Q14011,Q9NWU2,0
Q14028,Q96M61,0
Q14050,Q4G0I0,0
Q14055,Q9H2R5,0
Q14061,Q5VT33,0
Q14106,Q9H2L5,0
Q14119,Q9Y6H3,0
Q14123,Q9H009,0
Q14126,Q3SXM0,0
Q14126,Q9NXA8,0
Q14135,Q8NEY4,0
Q14137,Q8NHA8,0
Q14153,Q93070,0
Q14153,Q9BQG0,0
Q14157,Q58FF8,0
Q14157,Q9BQA1,0
Q14159,Q5TZJ5,0
Q14159,Q6ZV89,0
Q14161,Q8IWA4,0
Q14162,Q9NR46,0
Q14165,Q9UDY8,0
Q14166,Q17RS7,0
Q14181,Q53TQ3,0
Q14184,Q96KS0,0
Q14188,Q5QGT7,0
Q14190,Q2TAL8,0
Q14197,Q8NA56,0
Q14201,Q5SSG8,0
Q14203,Q8IVJ8,0
Q14207,Q32MH5,0
Q14207,Q5U5R9,0
Q14242,Q96I34,0
Q14242,Q9Y3E5,0
Q14244,Q9NZU1,0
Q14247,Q6NXS1,0
Q14289,Q6UWQ5,0
Q14320,Q9NQW6,0
Q14324,Q99467,0
Q14331,Q8NGJ2,0
Q14410,Q9UBS3,0
Q14432,Q8TF32,0
Q14442,Q902F9,0
Q14451,Q96HQ2,0
Q14469,Q9BUJ0,0
Q14507,Q9UET6,0
Q14520,Q9H1K1,0
Q14525,Q6X784,0
Q14525,Q9UH99,0
Q14533,Q96B97,0
Q14541,Q8TDN1,0
Q14541,Q8WUW1,0
Q14542,Q6UWB4,0
Q14582,Q9NZV7,0
Q14584,Q9H6U6,0
Q14590,Q9H628,0
Q14592,Q9BPX5,0
Q14596,Q6PIV2,0
Q14641,Q9UKJ5,0
Q14671,Q9P232,0
Q14674,Q8TCD1,0
Q14676,Q969W9,0
Q14678,Q96HR8,0
Q14678,Q96PX8,0
Q14686,Q15404,0
Q14686,Q96EK6,0
Q14687,Q9NX14,0
Q14693,Q76FK4,0
Q14696,Q99675,0
Q14699,Q8IWP9,0
Q14761,Q53EU6,0
Q14774,Q9Y2T2,0
Q147U7,Q969M3,0
Q147X3,Q9BSQ5,0
Q147X3,Q9NU02,0
Q14802,Q9HCQ5,0
Q14814,Q96KN1,0
Q14831,Q9P0S3,0
Q14832,Q8NGT0,0
Q14847,Q53H80,0
Q14847,Q9P0K7,0
Q14847,Q9UNE2,0
Q14863,Q9H5Z1,0
Q14865,Q8TEJ3,0
Q14916,Q96A99,0
Q14919,Q96A23,0
Q14929,Q9ULE4,0
Q14943,Q9UKR3,0
Q14956,Q7Z6K1,0
Q14993,Q8NFN8,0
Q14999,Q5C9Z4,0
Q14BN4,Q8TDV5,0
Q14C87,Q15036,0
Q14CB8,Q96PP9,0
Q14CN4,Q9UBC2,0
Q14CS0,Q9H1U4,0
Q14D33,Q9HB09,0
Q15005,Q9C0K7,0
Q15006,Q76N89,0
Q15007,Q9GZX9,0
Q15011,Q96CS7,0
Q15011,Q9C0J1,0
Q15013,Q2WGJ6,0
Q15013,Q9UM07,0
Q15014,Q53EV4,0
Q15019,Q9UBP9,0
Q15024,Q86T23,0
Q15025,Q9H2U2,0
Q15031,Q8NEA4,0
Q15032,Q96S42,0
Q15032,Q9NUW8,0
Q15049,Q8N4L2,0
Q15053,Q8NHQ8,0
Q15054,Q6XZB0,0
Q15056,Q8TBG9,0
Q15056,Q9UL25,0
Q15067,Q92854,0
Q15070,Q8N7R1,0
Q15080,Q9UHG2,0
Q15118,Q4VCS5,0
Q15118,Q92542,0
Q15119,Q8N9Z0,0
Q15124,Q5H9L4,0
Q15126,Q30KQ6,0
Q15170,Q86US8,0
Q15173,Q15543,0
Q15181,Q93096,0
Q15185,Q8TC12,0
Q15195,Q9H081,0
Q15198,Q15406,0
Q15233,Q9NNX1,0
Q15257,Q9BRS8,0
Q15269,Q8N3U1,0
Q15269,Q96N64,0
Q15270,Q6IS14,0
Q15286,Q9H3G5,0
Q15287,Q9UK08,0
Q15293,Q9Y248,0
Q15306,Q9GZN2,0
Q15327,Q9H0R6,0
Q15334,Q9Y6C9,0
Q15369,Q7Z417,0
Q15369,Q969S2,0
Q15391,Q86VZ2,0
Q15393,Q8TF62,0
Q15418,Q9UFE4,0
Q15424,Q99944,0
Q15424,Q9NR64,0
Q15435,Q86VP3,0
Q15464,Q969G9,0
Q15466,Q969F0,0
Q15485,Q8WW01,0
Q15506,Q5W111,0
Q15527,Q6ZSY5,0
Q15528,Q9UGM1,0
Q15532,Q9BYG0,0
Q15544,Q2M3T9,0
Q15560,Q86YJ7,0
Q15582,Q8WVL7,0
Q15583,Q16878,0
Q15596,Q717R9,0
Q15599,Q9NVW2,0
Q155Q3,Q16653,0
Q155Q3,Q8N554,0
Q155Q3,Q8NGS1,0
Q15612,Q719I0,0
Q15615,Q9C0H5,0
Q15620,Q9HCU5,0
Q15633,Q6UW56,0
Q15646,Q6ZSI9,0
Q15653,Q96QT6,0
Q15653,Q9Y279,0
Q15696,Q9BX59,0
Q15714,Q9Y426,0
Q15738,Q8NH09,0
Q15746,Q9HCX3,0
Q15750,Q96DB2,0
Q15760,Q16520,0
Q15760,Q495A1,0
Q15761,Q9UHG2,0
Q15761,Q9UN75,0
Q15768,Q6P7N7,0
Q15785,Q6UXN7,0
Q15788,Q9P265,0
Q15813,Q96Q06,0
Q15814,Q9P1Y6,0
Q15818,Q6ZMT1,0
Q15825,Q5VX71,0
Q15853,Q96F46,0
Q15884,Q8NA47,0
Q15907,Q8N0Y7,0
Q15910,Q6P0N0,0
Q15910,Q99453,0
Q15916,Q6B0I6,0
Q15916,Q9Y5A9,0
Q15973,Q49MI3,0
Q16134,Q8WWZ1,0
Q16236,Q9H0D2,0
Q16270,Q30KP8,0
Q16281,Q5T4B2,0
Q16288,Q8NDB6,0
Q16342,Q9BZR8,0
Q16348,Q5VXU3,0
Q16385,Q6UN15,0
Q16513,Q8N441,0
Q16513,Q96NB3,0
Q16514,Q86XJ1,0
Q16514,Q9NUI1,0
Q16517,Q92974,0
Q16520,Q86VS8,0
Q16520,Q96G42,0
Q16531,Q9HCL0,0
Q16539,Q5T9G4,0
Q16539,Q92574,0
Q16548,Q6PJW8,0
Q16566,Q9P2E7,0
Q16568,Q96D98,0
Q16586,Q96J88,0
Q16589,Q9UBL0,0
Q16602,Q401N2,0
Q16602,Q86SJ2,0
Q16612,Q9H8S9,0
Q16617,Q6NYC8,0
Q16619,Q96AH8,0
Q16625,Q9UI38,0
Q16626,Q8IUE1,0
Q16643,Q7Z403,0
Q16653,Q9Y6Y9,0
Q16654,Q96RI9,0
Q16655,Q6IPT2,0
Q16655,Q9BT73,0
Q16739,Q96GN5,0
Q16763,Q9NUV9,0
Q16763,Q9Y2A9,0
Q16769,Q9BQG2,0
Q16777,Q8WW01,0
Q16777,Q9BR01,0
Q16777,Q9Y535,0
Q16778,Q96LR5,0
Q16790,Q9NR71,0
Q16816,Q96RQ3,0
Q16820,Q8NBJ7,0
Q16831,Q8TC17,0
Q16842,Q86UV7,0
Q16878,Q9HCD6,0
Q16881,Q8N3G9,0
Q16891,Q8TEJ3,0
Q17R55,Q9BZP3,0
Q17R55,Q9HCK4,0
Q17R55,Q9NY43,0
Q17RA5,Q8IZV2,0
Q17RB0,Q8TBM8,0
Q17RC7,Q9Y508,0
Q17RN3,Q9NRM2,0
Q18PE1,Q53GG5,0
Q18PE1,Q86WI0,0
Q1ED39,Q6QHF9,0
Q1ED39,Q9BXF6,0
Q1HG43,Q8N967,0
Q1HG44,Q7Z5H4,0
Q1KMD3,Q7Z5U6,0
Q1L5Z9,Q5H9L4,0
Q1L5Z9,Q8NFM4,0
Q1MX18,Q8N1B4,0
Q1RN00,Q68CJ9,0
Q1W4C9,Q3LI83,0
Q1W6H9,Q8N436,0
Q1XH10,Q8NGG5,0
Q24JP5,Q49AM1,0
Q24JP5,Q9NZD1,0
Q2HXU8,Q6IPM2,0
Q2I0M4,Q8NDV1,0
Q2I0M4,Q9ULW3,0
Q2I0M5,Q9ULJ1,0
Q2KHM9,Q5SQH8,0
Q2KHN1,Q8NB49,0
Q2KHN1,Q9BVA0,0
Q2KHR3,Q96KP6,0
Q2KHT4,Q8IYW4,0
Q2L4Q9,Q8N1P7,0
Q2L4Q9,Q8TCX1,0
Q2M1K9,Q8IV38,0
Q2M1K9,Q8NH69,0
Q2M1K9,Q9Y5Q8,0
Q2M296,Q96PD5,0
Q2M296,Q9HD23,0
Q2M2D7,Q92575,0
Q2M2I5,Q9UKJ3,0
Q2M2W7,Q8NCW6,0
Q2M2W7,Q9UL17,0
Q2M329,Q9UKP3,0
Q2M3C6,Q9UKA2,0
Q2M3G4,Q9Y6A1,0
Q2MJR0,Q92537,0
Q2MJR0,Q9NSY0,0
Q2NL68,Q6NXT1,0
Q2NL82,Q9BTK6,0
Q2PZI1,Q8TEL6,0
Q2PZI1,Q9ULV5,0
Q2QL34,Q9NXW2,0
Q2T9J0,Q9Y5E1,0
Q2T9L4,Q8N9M5,0
Q2T9L4,Q9BTD3,0
Q2TAA5,Q8N4L2,0
Q2TAK8,Q6PEY1,0
Q2TAK8,Q8N4P3,0
Q2TAM9,Q8N1L4,0
Q2TAP0,Q86VY4,0
Q2TAY7,Q6ZS10,0
Q2TAZ0,Q6VB84,0
Q2TB10,Q9H467,0
Q2TBE0,Q9NYZ1,0
Q2V2M9,Q8IYX1,0
Q2VY69,Q6UX41,0
Q2VYF4,Q96L42,0
Q2WEN9,Q719H9,0
Q2WGJ8,Q9NVM4,0
Q30154,Q9HC73,0
Q30KP8,Q96A04,0
Q30KP9,Q9UJ78,0
Q30KQ5,Q49SQ1,0
Q30KQ5,Q9BZR9,0
Q30KQ7,Q8WZ82,0
Q30KQ7,Q9UKI9,0
Q30KQ8,Q6Q8B3,0
Q32MH5,Q96M89,0
Q32P44,Q6IEE7,0
Q32P44,Q9Y6X2,0
Q330K2,Q8NHA6,0
Q3B7T3,Q674X7,0
Q3BBV2,Q9NUL5,0
Q3C1V0,Q96RD0,0
Q3KNS1,Q495T6,0
Q3KP22,Q6GPI1,0
Q3KP66,Q96MS0,0
Q3KP66,Q9P0U3,0
Q3KQU3,Q9NR23,0
Q3KQU3,Q9NUP1,0
Q3KQV3,Q8TC36,0
Q3LI70,Q70EL2,0
Q3MHD2,Q96SM3,0
Q3MIN7,Q96DM3,0
Q3SXM0,Q9H0A0,0
Q3SXM5,Q8WU79,0
Q3SXY8,Q8NHS2,0
Q3SXZ7,Q96AP4,0
Q3SY00,Q6X9E4,0
Q3SY84,Q9C098,0
Q3T8J9,Q5T7N3,0
Q3YBM2,Q9P015,0
Q3ZAQ7,Q6UXP3,0
Q3ZCM7,Q71RC2,0
Q3ZCM7,Q96LA6,0
Q3ZCQ2,Q6P9A2,0
Q3ZCQ3,Q8N1E6,0
Q3ZCQ3,Q8NH09,0
Q3ZCQ8,Q9BRA0,0
Q3ZCT8,Q8N693,0
Q3ZCV2,Q8IWU5,0
Q3ZM63,Q969R5,0
Q400G9,Q96B97,0
Q460N5,Q6UX72,0
Q460N5,Q9NZU0,0
Q494R4,Q5QJU3,0
Q494V2,Q9NYY1,0
Q495W5,Q8WWH4,0
Q495Y7,Q9HB75,0
Q495Y8,Q9UBW8,0
Q495Y8,Q9UNW8,0
Q496F6,Q8NGK2,0
Q499Z3,Q9H3T2,0
Q49A33,Q9H2Y7,0
Q49A88,Q6NUN7,0
Q49A92,Q9Y2K6,0
Q49AH0,Q9H7J1,0
Q49AM3,Q6N021,0
Q49AM3,Q96IS3,0
Q4FZB7,Q8NGZ3,0
Q4FZB7,Q969L2,0
Q4FZB7,Q9UHK0,0
Q4G0N0,Q9NXJ0,0
Q4G0N8,Q5XX13,0
Q4G0S7,Q6PJI9,0
Q4G163,Q9NY15,0
Q4KMG9,Q9Y2G4,0
Q4KMZ8,Q9NY74,0
Q4KWH8,Q9P215,0
Q4L180,Q7Z5Y6,0
Q4LE39,Q96EU6,0
Q4LE39,Q96PZ0,0
Q4LEZ3,Q9UJJ7,0
Q4VC12,Q96F86,0
Q4VC31,Q7Z5G4,0
Q4VC31,Q96A49,0
Q4W5P6,Q8N1B3,0
Q4ZG55,Q96K17,0
Q502W7,Q96LW1,0
Q502W7,Q9Y6X2,0
Q502X0,Q9Y530,0
Q504Y2,Q7RTU1,0
Q504Y3,Q96IW7,0
Q52LG2,Q92519,0
Q52LJ0,Q6ZN55,0
Q52LR7,Q9Y2A9,0
Q52MB2,Q9Y2G5,0
Q52WX2,Q8WV48,0
Q537H7,Q76KD6,0
Q53EL6,Q8WXA8,0
Q53EU6,W5XKT8,0
Q53EV4,Q9Y697,0
Q53EZ4,Q8N6Y2,0
Q53EZ4,Q96T92,0
Q53F19,Q9GZU7,0
Q53F39,Q8IVI9,0
Q53FE4,Q9H3H9,0
Q53FZ2,Q587J7,0
Q53GL0,Q9H649,0
Q53H12,Q96PZ2,0
Q53H80,Q8NCE2,0
Q53HC0,Q8N5Y8,0
Q53HI1,Q86SG4,0
Q53HL2,Q8NBF6,0
Q53LP3,Q92570,0
Q53LP3,Q96C90,0
Q53RY4,Q96EL2,0
Q53S33,Q9BQ90,0
Q53S58,Q96CC6,0
Q53S58,Q9NYF0,0
Q53SF7,Q9H1D9,0
Q53TS8,Q5SGD2,0
Q569K4,Q8IY92,0
Q569K6,Q6PUV4,0
Q56NI9,Q8N584,0
Q58EX7,Q8TE02,0
Q58F21,Q9H772,0
Q5BJE1,Q8N9W4,0
Q5BJH2,Q8IX04,0
Q5BJH2,Q9Y256,0
Q5BJH2,Q9Y691,0
Q5BKT4,Q9H3K2,0
Q5BKT4,Q9P2Y4,0
Q5BKY9,Q6P2E9,0
Q5BKY9,Q9HCM9,0
Q5BVD1,Q96BF6,0
Q5BVD1,Q9P0M2,0
Q5CZ79,Q969D9,0
Q5DX21,Q99758,0
Q5EBL4,Q96FA7,0
Q5EBL8,Q96K30,0
Q5EBN2,Q8J025,0
Q5F1R6,Q96GS6,0
Q5FBB7,Q6ZWT7,0
Q5FWF5,Q9H773,0
Q5FYA8,Q5VXH5,0
Q5GAN3,Q8TCB0,0
Q5GAN3,Q9P209,0
Q5GAN4,Q5VUY0,0
Q5GH72,Q6QNK2,0
Q5GH73,Q5T6J7,0
Q5H8A3,Q6ZR37,0
Q5H943,Q86XK2,0
Q5H9F3,Q9Y6M9,0
Q5H9K5,Q96MA6,0
Q5H9L4,Q9NQT5,0
Q5H9M0,Q9GZU0,0
Q5HYC2,Q8WXK3,0
Q5HYC2,Q9UMR7,0
Q5HYI7,Q8NAQ8,0
Q5HYI8,Q96DE5,0
Q5HYJ1,Q8N0S2,0
Q5HYK3,Q8IV01,0
Q5HYL7,Q8NEA6,0
Q5HYN5,Q92520,0
Q5HYR2,Q96K78,0
Q5HYW2,Q9BSJ6,0
Q5HYW3,Q8N5L8,0
Q5I0X4,Q9BR09,0
Q5JNZ3,Q9UL62,0
Q5JPB2,Q8NEA9,0
Q5JPF3,Q6Q788,0
Q5JPI3,Q8NEV4,0
Q5JPI9,Q8N1V2,0
Q5JQC4,Q96FE7,0
Q5JQS5,Q9BSN7,0
Q5JRA6,Q6IE81,0
Q5JSJ4,Q9Y252,0
Q5JSL3,Q9UHL0,0
Q5JSQ8,Q5THR3,0
Q5JST6,Q8N1B4,0
Q5JSZ5,Q70EL2,0
Q5JT25,Q70CQ1,0
Q5JTJ3,Q9C0D7,0
Q5JTN6,Q7Z418,0
Q5JU69,Q9HDC9,0
Q5JUQ0,Q6PIV2,0
Q5JUR7,Q7LGC8,0
Q5JUR7,Q8TF05,0
Q5JV73,Q8NH09,0
Q5JVF3,Q8N4L1,0
Q5JVF3,Q9H013,0
Q5JVL4,Q86VZ4,0
Q5JVL4,Q8NHM4,0
Q5JVL4,Q9NRL3,0
Q5JVS0,Q9NYP8,0
Q5JWF8,Q9H9L4,0
Q5JXB2,Q86X83,0
Q5JXC2,Q8NFJ6,0
Q5JY77,Q96MI6,0
Q5K651,Q9HB19,0
Q5M775,Q8NCU4,0
Q5MAI5,Q6PCE3,0
Q5MAI5,Q9UM63,0
Q5MJ70,Q6P2I7,0
Q5MNV8,Q5VZV1,0
Q5MNV8,Q9H0W8,0
Q5MY95,Q99442,0
Q5NUL3,Q9NQY0,0
Q5QJE6,Q9Y5G1,0
Q5R387,Q8WVV5,0
Q5RGS3,Q9H7P9,0
Q5RIA9,Q9H875,0
Q5RL73,Q9NPF0,0
Q5S007,Q9UKK9,0
Q5SNT2,Q8IY67,0
Q5SNT2,Q8N6G6,0
Q5SNT2,Q8TED4,0
Q5SQ80,Q6UX04,0
Q5SQS7,Q8TBH0,0
Q5SR56,Q96IX5,0
Q5SR56,Q9BZA0,0
Q5SRE7,Q96CB8,0
Q5SRE7,Q96CU9,0
Q5SRN2,Q8N8U3,0
Q5SRR4,Q6ICH7,0
Q5SRR4,Q8NGJ5,0
Q5SSQ6,Q8TD17,0
Q5STR5,Q8NHU0,0
Q5SW24,Q6P2H8,0
Q5SW79,Q9NP60,0
Q5SWH9,Q8NHY3,0
Q5SWH9,Q8WUY9,0
Q5SWL8,Q6ZUJ8,0
Q5SWW7,Q8TEB1,0
Q5SXH7,Q99581,0
Q5SXM2,Q6P4F7,0
Q5SXM8,Q9GZZ8,0
Q5SY13,Q92637,0
Q5SY80,Q9NVR5,0
Q5SYC1,Q6S8J7,0
Q5SYC1,Q8NE62,0
Q5SZI1,Q8N0V5,0
Q5SZL2,Q5VWP2,0
Q5SZQ8,Q9NQ48,0
Q5T0F9,Q8NCT1,0
Q5T0T0,Q9UJV8,0
Q5T0U0,Q6ZU80,0
Q5T197,Q9UKC9,0
Q5T1B0,Q9NXG0,0
Q5T1V6,Q7L0X2,0
Q5T1V6,Q9UF47,0
Q5T215,Q9UQ26,0
Q5T230,Q8NGR8,0
Q5T2D2,Q9NRY7,0
Q5T2N8,Q96EX1,0
Q5T2N8,Q9NYX4,0
Q5T3F8,Q5T4T6,0
Q5T4D3,Q86VZ5,0
Q5T4D3,Q9C0A0,0
Q5T4D3,Q9UJW7,0
Q5T4H9,Q9H2C0,0
Q5T5J6,Q8WUA8,0
Q5T5M9,Q9P1U1,0
Q5T5P2,Q8NI32,0
Q5T5S1,Q8IV35,0
Q5T5S1,Q9BTP6,0
Q5T5U3,Q9BWJ5,0
Q5T5X7,Q5TID7,0
Q5T681,Q9UN30,0
Q5T6F0,Q9NW82,0
Q5T700,Q96Q91,0
Q5T700,Q9GZU1,0
Q5T7B8,Q5VWC8,0
Q5T7M4,Q96HL8,0
Q5T7M9,Q96SE0,0
Q5T7N2,Q9BZD6,0
Q5T7P6,Q8TEA1,0
Q5T7P8,Q96AP4,0
Q5T848,Q96DZ1,0
Q5T890,Q9UJQ1,0
Q5T8D3,Q99732,0
Q5T8D3,Q9HD43,0
Q5T8I3,Q9H223,0
Q5T8R8,Q96G04,0
Q5T8R8,Q9BZX4,0
Q5T953,Q9UHE8,0
Q5TA31,Q86SJ2,0
Q5TA79,Q6IEY1,0
Q5TA89,Q9BYU1,0
Q5TB30,Q8WVJ2,0
Q5TBE3,Q8IXB3,0
Q5TBK1,Q9H7E9,0
Q5TC12,Q8N3X1,0
Q5TC82,Q70CQ4,0
Q5TC82,Q9UHL3,0
Q5TCH4,Q8WUN7,0
Q5TCZ1,Q9H9S4,0
Q5TD97,Q9UN30,0
Q5TEC3,Q8TC17,0
Q5TGJ6,Q9NZP5,0
Q5TGL8,Q9H560,0
Q5TGS1,Q9BTA9,0
Q5TGZ0,Q8NF67,0
Q5THR3,Q8IWK6,0
Q5THR3,Q8NBP7,0
Q5THR3,Q92993,0
Q5TIA1,Q8IYB4,0
Q5TIA1,Q9Y5N5,0
Q5TYW2,Q92546,0
Q5TZ20,Q96JM7,0
Q5TZJ5,Q96JZ2,0
Q5U5Q3,Q9UET6,0
Q5U5X0,Q9NXJ0,0
Q5U5Z8,Q9BY49,0
Q5U623,Q8IXL9,0
Q5UE93,Q9HCI6,0
Q5VT03,Q9NNX1,0
Q5VT66,Q9BX10,0
Q5VT79,Q6PEV8,0
Q5VT79,Q9UM44,0
Q5VT99,Q8N443,0
Q5VT99,Q9NWH2,0
Q5VTD9,Q96SD1,0
Q5VTJ3,Q9ULE4,0
Q5VTL7,Q96KF2,0
Q5VTL8,Q9BV44,0
Q5VU57,Q8NI60,0
Q5VU97,Q6NUT2,0
Q5VU97,Q9Y2V0,0
Q5VUA4,Q86UD0,0
Q5VUJ6,Q99436,0
Q5VV17,Q99549,0
Q5VVB8,Q9NP31,0
Q5VVC0,Q9P0K9,0
Q5VVH2,Q8IV16,0
Q5VVH2,Q96MK2,0
Q5VVJ2,Q8N7L0,0
Q5VVM6,Q9NTZ6,0
Q5VW00,Q9Y561,0
Q5VW22,Q9H310,0
Q5VWG9,Q9BSW2,0
Q5VWI1,Q96C36,0
Q5VWK0,Q99496,0
Q5VWK5,Q6T4P5,0
Q5VWQ0,Q8IVH2,0
Q5VWQ0,Q9BRR9,0
Q5VWQ8,Q68D10,0
Q5VX52,Q8N8F7,0
Q5VX52,Q9NSC2,0
Q5VX71,Q92859,0
Q5VXD3,Q86YE8,0
Q5VXJ0,Q7Z3V5,0
