Protein1,Protein2,avg_n_models
Q15620,Q9HCU5,0.333
Q15633,Q6UW56,0.333
Q15646,Q6ZSI9,0.333
Q15653,Q96QT6,0.333
Q15653,Q9Y279,0.333
Q15696,Q9BX59,0.333
Q15714,Q9Y426,0.333
Q15738,Q8NH09,0.333
Q15746,Q9HCX3,0.333
Q15750,Q96DB2,0.333
Q15760,Q16520,0.333
Q15760,Q495A1,0.333
Q15761,Q9UHG2,0.333
Q15761,Q9UN75,0.333
Q15768,Q6P7N7,0.333
Q15785,Q6UXN7,0.333
Q15788,Q9P265,0.333
Q15813,Q96Q06,0.333
Q15814,Q9P1Y6,0.333
Q15818,Q6ZMT1,0.333
Q15825,Q5VX71,0.333
Q15853,Q96F46,0.333
Q15884,Q8NA47,0.333
Q15907,Q8N0Y7,0.333
Q15910,Q6P0N0,0.333
Q15910,Q99453,0.333
Q15916,Q6B0I6,0.333
Q15916,Q9Y5A9,0.333
Q15973,Q49MI3,0.333
Q16134,Q8WWZ1,0.333
Q16236,Q9H0D2,0.333
Q16270,Q30KP8,0.333
Q16281,Q5T4B2,0.333
Q16288,Q8NDB6,0.333
Q16342,Q9BZR8,0.333
Q16348,Q5VXU3,0.333
Q16385,Q6UN15,0.333
Q16513,Q8N441,0.333
Q16513,Q96NB3,0.333
Q16514,Q86XJ1,0.333
Q16514,Q9NUI1,0.333
Q16517,Q92974,0.333
Q16520,Q86VS8,0.333
Q16520,Q96G42,0.333
Q16531,Q9HCL0,0.333
Q16539,Q5T9G4,0.333
Q16539,Q92574,0.333
Q16548,Q6PJW8,0.333
Q16566,Q9P2E7,0.333
Q16568,Q96D98,0.333
Q16586,Q96J88,0.333
Q16589,Q9UBL0,0.333
Q16602,Q401N2,0.333
Q16602,Q86SJ2,0.333
Q16612,Q9H8S9,0.333
Q16617,Q6NYC8,0.333
Q16619,Q96AH8,0.333
Q16625,Q9UI38,0.333
Q16626,Q8IUE1,0.333
Q16643,Q7Z403,0.333
Q16653,Q9Y6Y9,0.333
Q16654,Q96RI9,0.333
Q16655,Q6IPT2,0.333
Q16655,Q9BT73,0.333
Q16739,Q96GN5,0.333
Q16763,Q9NUV9,0.333
Q16763,Q9Y2A9,0.333
Q16769,Q9BQG2,0.333
Q16777,Q8WW01,0.333
Q16777,Q9BR01,0.333
Q16777,Q9Y535,0.333
Q16778,Q96LR5,0.333
Q16790,Q9NR71,0.333
Q16816,Q96RQ3,0.333
Q16820,Q8NBJ7,0.333
Q16831,Q8TC17,0.333
Q16842,Q86UV7,0.333
Q16878,Q9HCD6,0.333
Q16881,Q8N3G9,0.333
Q16891,Q8TEJ3,0.333
Q17R55,Q9BZP3,0.333
Q17R55,Q9HCK4,0.333
Q17R55,Q9NY43,0.333
Q17RA5,Q8IZV2,0.333
Q17RB0,Q8TBM8,0.333
Q17RC7,Q9Y508,0.333
Q17RN3,Q9NRM2,0.333
Q18PE1,Q53GG5,0.333
Q18PE1,Q86WI0,0.333
Q1ED39,Q6QHF9,0.333
Q1ED39,Q9BXF6,0.333
Q1HG43,Q8N967,0.333
Q1HG44,Q7Z5H4,0.333
Q1KMD3,Q7Z5U6,0.333
Q1L5Z9,Q5H9L4,0.333
Q1L5Z9,Q8NFM4,0.333
Q1MX18,Q8N1B4,0.333
Q1RN00,Q68CJ9,0.333
Q1W4C9,Q3LI83,0.333
Q1W6H9,Q8N436,0.333
Q1XH10,Q8NGG5,0.333
Q24JP5,Q49AM1,0.333
Q24JP5,Q9NZD1,0.333
Q2HXU8,Q6IPM2,0.333
Q2I0M4,Q8NDV1,0.333
Q2I0M4,Q9ULW3,0.333
Q2I0M5,Q9ULJ1,0.333
Q2KHM9,Q5SQH8,0.333
Q2KHN1,Q8NB49,0.333
Q2KHN1,Q9BVA0,0.333
Q2KHR3,Q96KP6,0.333
Q2KHT4,Q8IYW4,0.333
Q2L4Q9,Q8N1P7,0.333
Q2L4Q9,Q8TCX1,0.333
Q2M1K9,Q8IV38,0.333
Q2M1K9,Q8NH69,0.333
Q2M1K9,Q9Y5Q8,0.333
Q2M296,Q96PD5,0.333
Q2M296,Q9HD23,0.333
Q2M2D7,Q92575,0.333
Q2M2I5,Q9UKJ3,0.333
Q2M2W7,Q8NCW6,0.333
Q2M2W7,Q9UL17,0.333
Q2M329,Q9UKP3,0.333
Q2M3C6,Q9UKA2,0.333
Q2M3G4,Q9Y6A1,0.333
Q2MJR0,Q92537,0.333
Q2MJR0,Q9NSY0,0.333
Q2NL68,Q6NXT1,0.333
Q2NL82,Q9BTK6,0.333
Q2PZI1,Q8TEL6,0.333
Q2PZI1,Q9ULV5,0.333
Q2QL34,Q9NXW2,0.333
Q2T9J0,Q9Y5E1,0.333
Q2T9L4,Q8N9M5,0.333
Q2T9L4,Q9BTD3,0.333
Q2TAA5,Q8N4L2,0.333
Q2TAK8,Q6PEY1,0.333
Q2TAK8,Q8N4P3,0.333
Q2TAM9,Q8N1L4,0.333
Q2TAP0,Q86VY4,0.333
Q2TAY7,Q6ZS10,0.333
Q2TAZ0,Q6VB84,0.333
Q2TB10,Q9H467,0.333
Q2TBE0,Q9NYZ1,0.333
Q2V2M9,Q8IYX1,0.333
Q2VY69,Q6UX41,0.333
Q2VYF4,Q96L42,0.333
Q2WEN9,Q719H9,0.333
Q2WGJ8,Q9NVM4,0.333
Q30154,Q9HC73,0.333
Q30KP8,Q96A04,0.333
Q30KP9,Q9UJ78,0.333
Q30KQ5,Q49SQ1,0.333
Q30KQ5,Q9BZR9,0.333
Q30KQ7,Q8WZ82,0.333
Q30KQ7,Q9UKI9,0.333
Q30KQ8,Q6Q8B3,0.333
Q32MH5,Q96M89,0.333
Q32P44,Q6IEE7,0.333
Q32P44,Q9Y6X2,0.333
Q330K2,Q8NHA6,0.333
Q3B7T3,Q674X7,0.333
Q3BBV2,Q9NUL5,0.333
Q3C1V0,Q96RD0,0.333
Q3KNS1,Q495T6,0.333
Q3KP22,Q6GPI1,0.333
Q3KP66,Q96MS0,0.333
Q3KP66,Q9P0U3,0.333
Q3KQU3,Q9NR23,0.333
Q3KQU3,Q9NUP1,0.333
Q3KQV3,Q8TC36,0.333
Q3LI70,Q70EL2,0.333
Q3MHD2,Q96SM3,0.333
Q3MIN7,Q96DM3,0.333
Q3SXM0,Q9H0A0,0.333
Q3SXM5,Q8WU79,0.333
Q3SXY8,Q8NHS2,0.333
Q3SXZ7,Q96AP4,0.333
Q3SY00,Q6X9E4,0.333
Q3SY84,Q9C098,0.333
Q3T8J9,Q5T7N3,0.333
Q3YBM2,Q9P015,0.333
Q3ZAQ7,Q6UXP3,0.333
Q3ZCM7,Q71RC2,0.333
Q3ZCM7,Q96LA6,0.333
Q3ZCQ2,Q6P9A2,0.333
Q3ZCQ3,Q8N1E6,0.333
Q3ZCQ3,Q8NH09,0.333
Q3ZCQ8,Q9BRA0,0.333
Q3ZCT8,Q8N693,0.333
Q3ZCV2,Q8IWU5,0.333
Q3ZM63,Q969R5,0.333
Q400G9,Q96B97,0.333
Q460N5,Q6UX72,0.333
Q460N5,Q9NZU0,0.333
Q494R4,Q5QJU3,0.333
Q494V2,Q9NYY1,0.333
Q495W5,Q8WWH4,0.333
Q495Y7,Q9HB75,0.333
Q495Y8,Q9UBW8,0.333
Q495Y8,Q9UNW8,0.333
Q496F6,Q8NGK2,0.333
Q499Z3,Q9H3T2,0.333
Q49A33,Q9H2Y7,0.333
Q49A88,Q6NUN7,0.333
Q49A92,Q9Y2K6,0.333
Q49AH0,Q9H7J1,0.333
Q49AM3,Q6N021,0.333
Q49AM3,Q96IS3,0.333
Q4FZB7,Q8NGZ3,0.333
Q4FZB7,Q969L2,0.333
Q4FZB7,Q9UHK0,0.333
Q4G0N0,Q9NXJ0,0.333
Q4G0N8,Q5XX13,0.333
Q4G0S7,Q6PJI9,0.333
Q4G163,Q9NY15,0.333
Q4KMG9,Q9Y2G4,0.333
Q4KMZ8,Q9NY74,0.333
Q4KWH8,Q9P215,0.333
Q4L180,Q7Z5Y6,0.333
Q4LE39,Q96EU6,0.333
Q4LE39,Q96PZ0,0.333
Q4LEZ3,Q9UJJ7,0.333
Q4VC12,Q96F86,0.333
Q4VC31,Q7Z5G4,0.333
Q4VC31,Q96A49,0.333
Q4W5P6,Q8N1B3,0.333
Q4ZG55,Q96K17,0.333
Q502W7,Q96LW1,0.333
Q502W7,Q9Y6X2,0.333
Q502X0,Q9Y530,0.333
Q504Y2,Q7RTU1,0.333
Q504Y3,Q96IW7,0.333
Q52LG2,Q92519,0.333
Q52LJ0,Q6ZN55,0.333
Q52LR7,Q9Y2A9,0.333
Q52MB2,Q9Y2G5,0.333
Q52WX2,Q8WV48,0.333
Q537H7,Q76KD6,0.333
Q53EL6,Q8WXA8,0.333
Q53EU6,W5XKT8,0.333
Q53EV4,Q9Y697,0.333
Q53EZ4,Q8N6Y2,0.333
Q53EZ4,Q96T92,0.333
Q53F19,Q9GZU7,0.333
Q53F39,Q8IVI9,0.333
Q53FE4,Q9H3H9,0.333
Q53FZ2,Q587J7,0.333
Q53GL0,Q9H649,0.333
Q53H12,Q96PZ2,0.333
Q53H80,Q8NCE2,0.333
Q53HC0,Q8N5Y8,0.333
Q53HI1,Q86SG4,0.333
Q53HL2,Q8NBF6,0.333
Q53LP3,Q92570,0.333
Q53LP3,Q96C90,0.333
Q53RY4,Q96EL2,0.333
Q53S33,Q9BQ90,0.333
Q53S58,Q96CC6,0.333
Q53S58,Q9NYF0,0.333
Q53SF7,Q9H1D9,0.333
Q53TS8,Q5SGD2,0.333
Q569K4,Q8IY92,0.333
Q569K6,Q6PUV4,0.333
Q56NI9,Q8N584,0.333
Q58EX7,Q8TE02,0.333
Q58F21,Q9H772,0.333
Q5BJE1,Q8N9W4,0.333
Q5BJH2,Q8IX04,0.333
Q5BJH2,Q9Y256,0.333
Q5BJH2,Q9Y691,0.333
Q5BKT4,Q9H3K2,0.333
Q5BKT4,Q9P2Y4,0.333
Q5BKY9,Q6P2E9,0.333
Q5BKY9,Q9HCM9,0.333
Q5BVD1,Q96BF6,0.333
Q5BVD1,Q9P0M2,0.333
Q5CZ79,Q969D9,0.333
Q5DX21,Q99758,0.333
Q5EBL4,Q96FA7,0.333
Q5EBL8,Q96K30,0.333
Q5EBN2,Q8J025,0.333
Q5F1R6,Q96GS6,0.333
Q5FBB7,Q6ZWT7,0.333
Q5FWF5,Q9H773,0.333
Q5FYA8,Q5VXH5,0.333
Q5GAN3,Q8TCB0,0.333
Q5GAN3,Q9P209,0.333
Q5GAN4,Q5VUY0,0.333
Q5GH72,Q6QNK2,0.333
Q5GH73,Q5T6J7,0.333
Q5H8A3,Q6ZR37,0.333
Q5H943,Q86XK2,0.333
Q5H9F3,Q9Y6M9,0.333
Q5H9K5,Q96MA6,0.333
Q5H9L4,Q9NQT5,0.333
Q5H9M0,Q9GZU0,0.333
Q5HYC2,Q8WXK3,0.333
Q5HYC2,Q9UMR7,0.333
Q5HYI7,Q8NAQ8,0.333
Q5HYI8,Q96DE5,0.333
Q5HYJ1,Q8N0S2,0.333
Q5HYK3,Q8IV01,0.333
Q5HYL7,Q8NEA6,0.333
Q5HYN5,Q92520,0.333
Q5HYR2,Q96K78,0.333
Q5HYW2,Q9BSJ6,0.333
Q5HYW3,Q8N5L8,0.333
Q5I0X4,Q9BR09,0.333
Q5JNZ3,Q9UL62,0.333
Q5JPB2,Q8NEA9,0.333
Q5JPF3,Q6Q788,0.333
Q5JPI3,Q8NEV4,0.333
Q5JPI9,Q8N1V2,0.333
Q5JQC4,Q96FE7,0.333
Q5JQS5,Q9BSN7,0.333
Q5JRA6,Q6IE81,0.333
Q5JSJ4,Q9Y252,0.333
Q5JSL3,Q9UHL0,0.333
Q5JSQ8,Q5THR3,0.333
Q5JST6,Q8N1B4,0.333
Q5JSZ5,Q70EL2,0.333
Q5JT25,Q70CQ1,0.333
Q5JTJ3,Q9C0D7,0.333
Q5JTN6,Q7Z418,0.333
Q5JU69,Q9HDC9,0.333
Q5JUQ0,Q6PIV2,0.333
Q5JUR7,Q7LGC8,0.333
Q5JUR7,Q8TF05,0.333
Q5JV73,Q8NH09,0.333
Q5JVF3,Q8N4L1,0.333
Q5JVF3,Q9H013,0.333
Q5JVL4,Q86VZ4,0.333
Q5JVL4,Q8NHM4,0.333
Q5JVL4,Q9NRL3,0.333
Q5JVS0,Q9NYP8,0.333
Q5JWF8,Q9H9L4,0.333
Q5JXB2,Q86X83,0.333
Q5JXC2,Q8NFJ6,0.333
Q5JY77,Q96MI6,0.333
Q5K651,Q9HB19,0.333
Q5M775,Q8NCU4,0.333
Q5MAI5,Q6PCE3,0.333
Q5MAI5,Q9UM63,0.333
Q5MJ70,Q6P2I7,0.333
Q5MNV8,Q5VZV1,0.333
Q5MNV8,Q9H0W8,0.333
Q5MY95,Q99442,0.333
Q5NUL3,Q9NQY0,0.333
Q5QJE6,Q9Y5G1,0.333
Q5R387,Q8WVV5,0.333
Q5RGS3,Q9H7P9,0.333
Q5RIA9,Q9H875,0.333
Q5RL73,Q9NPF0,0.333
Q5S007,Q9UKK9,0.333
Q5SNT2,Q8IY67,0.333
Q5SNT2,Q8N6G6,0.333
Q5SNT2,Q8TED4,0.333
Q5SQ80,Q6UX04,0.333
Q5SQS7,Q8TBH0,0.333
Q5SR56,Q96IX5,0.333
Q5SR56,Q9BZA0,0.333
Q5SRE7,Q96CB8,0.333
Q5SRE7,Q96CU9,0.333
Q5SRN2,Q8N8U3,0.333
Q5SRR4,Q6ICH7,0.333
Q5SRR4,Q8NGJ5,0.333
Q5SSQ6,Q8TD17,0.333
Q5STR5,Q8NHU0,0.333
Q5SW24,Q6P2H8,0.333
Q5SW79,Q9NP60,0.333
Q5SWH9,Q8NHY3,0.333
Q5SWH9,Q8WUY9,0.333
Q5SWL8,Q6ZUJ8,0.333
Q5SWW7,Q8TEB1,0.333
Q5SXH7,Q99581,0.333
Q5SXM2,Q6P4F7,0.333
Q5SXM8,Q9GZZ8,0.333
Q5SY13,Q92637,0.333
Q5SY80,Q9NVR5,0.333
Q5SYC1,Q6S8J7,0.333
Q5SYC1,Q8NE62,0.333
Q5SZI1,Q8N0V5,0.333
Q5SZL2,Q5VWP2,0.333
Q5SZQ8,Q9NQ48,0.333
Q5T0F9,Q8NCT1,0.333
Q5T0T0,Q9UJV8,0.333
Q5T0U0,Q6ZU80,0.333
Q5T197,Q9UKC9,0.333
Q5T1B0,Q9NXG0,0.333
Q5T1V6,Q7L0X2,0.333
Q5T1V6,Q9UF47,0.333
Q5T215,Q9UQ26,0.333
Q5T230,Q8NGR8,0.333
Q5T2D2,Q9NRY7,0.333
Q5T2N8,Q96EX1,0.333
Q5T2N8,Q9NYX4,0.333
Q5T3F8,Q5T4T6,0.333
Q5T4D3,Q86VZ5,0.333
Q5T4D3,Q9C0A0,0.333
Q5T4D3,Q9UJW7,0.333
Q5T4H9,Q9H2C0,0.333
Q5T5J6,Q8WUA8,0.333
Q5T5M9,Q9P1U1,0.333
Q5T5P2,Q8NI32,0.333
Q5T5S1,Q8IV35,0.333
Q5T5S1,Q9BTP6,0.333
Q5T5U3,Q9BWJ5,0.333
Q5T5X7,Q5TID7,0.333
Q5T681,Q9UN30,0.333
Q5T6F0,Q9NW82,0.333
Q5T700,Q96Q91,0.333
Q5T700,Q9GZU1,0.333
Q5T7B8,Q5VWC8,0.333
Q5T7M4,Q96HL8,0.333
Q5T7M9,Q96SE0,0.333
Q5T7N2,Q9BZD6,0.333
Q5T7P6,Q8TEA1,0.333
Q5T7P8,Q96AP4,0.333
Q5T848,Q96DZ1,0.333
Q5T890,Q9UJQ1,0.333
Q5T8D3,Q99732,0.333
Q5T8D3,Q9HD43,0.333
Q5T8I3,Q9H223,0.333
Q5T8R8,Q96G04,0.333
Q5T8R8,Q9BZX4,0.333
Q5T953,Q9UHE8,0.333
Q5TA31,Q86SJ2,0.333
Q5TA79,Q6IEY1,0.333
Q5TA89,Q9BYU1,0.333
Q5TB30,Q8WVJ2,0.333
Q5TBE3,Q8IXB3,0.333
Q5TBK1,Q9H7E9,0.333
Q5TC12,Q8N3X1,0.333
Q5TC82,Q70CQ4,0.333
Q5TC82,Q9UHL3,0.333
Q5TCH4,Q8WUN7,0.333
Q5TCZ1,Q9H9S4,0.333
Q5TD97,Q9UN30,0.333
Q5TEC3,Q8TC17,0.333
Q5TGJ6,Q9NZP5,0.333
Q5TGL8,Q9H560,0.333
Q5TGS1,Q9BTA9,0.333
Q5TGZ0,Q8NF67,0.333
Q5THR3,Q8IWK6,0.333
Q5THR3,Q8NBP7,0.333
Q5THR3,Q92993,0.333
Q5TIA1,Q8IYB4,0.333
Q5TIA1,Q9Y5N5,0.333
Q5TYW2,Q92546,0.333
Q5TZ20,Q96JM7,0.333
Q5TZJ5,Q96JZ2,0.333
Q5U5Q3,Q9UET6,0.333
Q5U5X0,Q9NXJ0,0.333
Q5U5Z8,Q9BY49,0.333
Q5U623,Q8IXL9,0.333
Q5UE93,Q9HCI6,0.333
Q5VT03,Q9NNX1,0.333
Q5VT66,Q9BX10,0.333
Q5VT79,Q6PEV8,0.333
Q5VT79,Q9UM44,0.333
Q5VT99,Q8N443,0.333
Q5VT99,Q9NWH2,0.333
Q5VTD9,Q96SD1,0.333
Q5VTJ3,Q9ULE4,0.333
Q5VTL7,Q96KF2,0.333
Q5VTL8,Q9BV44,0.333
Q5VU57,Q8NI60,0.333
Q5VU97,Q6NUT2,0.333
Q5VU97,Q9Y2V0,0.333
Q5VUA4,Q86UD0,0.333
Q5VUJ6,Q99436,0.333
Q5VV17,Q99549,0.333
Q5VVB8,Q9NP31,0.333
Q5VVC0,Q9P0K9,0.333
Q5VVH2,Q8IV16,0.333
Q5VVH2,Q96MK2,0.333
Q5VVJ2,Q8N7L0,0.333
Q5VVM6,Q9NTZ6,0.333
Q5VW00,Q9Y561,0.333
Q5VW22,Q9H310,0.333
Q5VWG9,Q9BSW2,0.333
Q5VWI1,Q96C36,0.333
Q5VWK0,Q99496,0.333
Q5VWK5,Q6T4P5,0.333
Q5VWQ0,Q8IVH2,0.333
Q5VWQ0,Q9BRR9,0.333
Q5VWQ8,Q68D10,0.333
Q5VX52,Q8N8F7,0.333
Q5VX52,Q9NSC2,0.333
Q5VX71,Q92859,0.333
Q5VXD3,Q86YE8,0.333
Q5VXJ0,Q7Z3V5,0.333
Q5VXT5,Q9HCL0,0.333
Q5VXU9,Q8IUA7,0.333
Q5VY09,Q86VW1,0.333
Q5VYK3,Q96A49,0.333
Q5VYS8,Q9C0B9,0.333
Q5VYV7,Q8NDZ2,0.333
Q5VYX0,Q9H6Y7,0.333
Q5VZ03,Q9BTL4,0.333
Q5VZ18,Q8N2E6,0.333
Q5VZ19,Q86TH1,0.333
Q5VZ19,Q8N0X4,0.333
Q5VZ72,Q9H7B4,0.333
Q5VZB9,Q9NYV9,0.333
Q5VZB9,Q9UN67,0.333
Q5VZR2,Q86X52,0.333
Q5VZV1,Q99871,0.333
Q5W041,Q9UBT3,0.333
Q5W0A0,Q6P1K8,0.333
Q5W0B1,Q9HBT6,0.333
Q5W0Q7,Q8IVL0,0.333
Q5W0Z9,Q86X52,0.333
Q5W0Z9,Q92882,0.333
Q5W186,Q8IWZ8,0.333
Q5W188,Q86YG4,0.333
Q5W5W9,Q9NQ39,0.333
Q5XG87,Q9UNU6,0.333
Q5XG92,Q7RTV0,0.333
Q5XG92,Q8TC94,0.333
Q5XG92,Q9H078,0.333
Q5XKK7,Q9Y2L9,0.333
Q5XLA6,Q9UNE7,0.333
Q5XPI4,Q9BRV8,0.333
Q5XPI4,Q9UGU0,0.333
Q629K1,Q7Z6M1,0.333
Q63HK3,Q68CP9,0.333
Q63HM1,Q9HAU0,0.333
Q64LD2,Q9Y5Y2,0.333
Q658N2,Q9BX63,0.333
Q658T7,Q86YC2,0.333
Q66GS9,Q9H0Z9,0.333
Q66K41,Q9UN72,0.333
Q66LE6,Q99853,0.333
Q66PJ3,Q96IR7,0.333
Q684P5,Q9UG22,0.333
Q68CJ6,Q99757,0.333
Q68CQ1,Q6ZSG2,0.333
Q68CQ1,Q9Y6N1,0.333
Q68CQ7,Q9P0G3,0.333
Q68CR1,Q9BX70,0.333
Q68CR1,Q9P2M4,0.333
Q68CR1,Q9UPT6,0.333
Q68CR7,Q6PB30,0.333
Q68D86,Q8IYJ3,0.333
Q68DC2,Q96KR6,0.333
Q68DV7,Q9H9J2,0.333
Q68EM7,Q9NUA8,0.333
Q68G75,Q8NHP7,0.333
Q68G75,Q9UN88,0.333
Q693B1,Q9Y399,0.333
Q69YG0,Q96B33,0.333
Q69YI7,Q9Y5U5,0.333
Q69YN2,Q8NGQ6,0.333
Q69YU3,Q96MU8,0.333
Q69YW2,Q7Z5H5,0.333
Q6A162,Q9H0R8,0.333
Q6AI12,Q9ULP9,0.333
Q6AI39,Q8NGT0,0.333
Q6AI39,Q8TBB0,0.333
Q6AZY7,Q96T54,0.333
Q6B0B8,Q8NA47,0.333
Q6B0I6,Q96K21,0.333
Q6B9Z1,Q8IX95,0.333
Q6BCY4,Q86YL5,0.333
Q6BDI9,Q96F15,0.333
Q6DD88,Q9NTQ9,0.333
Q6DHV7,Q8IZF5,0.333
Q6DKI7,Q99594,0.333
Q6DKJ4,Q8N145,0.333
Q6DN14,Q6VY07,0.333
Q6DN72,Q6UWB1,0.333
Q6DRA6,Q8IW70,0.333
Q6EBC2,Q96CM8,0.333
Q6ECI4,Q8N309,0.333
Q6ECI4,Q9BXC0,0.333
Q6EMB2,Q8NFL0,0.333
Q6GMV3,Q9GZQ8,0.333
Q6GTS8,Q9H2W2,0.333
Q6GV28,Q8TE49,0.333
Q6GV28,Q99608,0.333
Q6H3X3,Q9NYJ7,0.333
Q6HA08,Q8N100,0.333
Q6IBW4,Q96H86,0.333
Q6ICL7,Q9BQS8,0.333
Q6IE38,Q6P474,0.333
Q6IF63,Q6J272,0.333
Q6IF82,Q9Y2R9,0.333
Q6IF99,Q96MA1,0.333
Q6IN97,Q96NU7,0.333
Q6IPT4,Q9NRG9,0.333
Q6IPX1,Q92520,0.333
Q6IQ19,Q8NA57,0.333
Q6IQ32,Q9BR46,0.333
Q6IQ55,Q8N1Q1,0.333
Q6ISB3,Q99626,0.333
Q6JVE5,Q7Z7K2,0.333
Q6KB66,Q9UKL3,0.333
Q6KC79,Q8NDZ4,0.333
Q6L9T8,Q6PI77,0.333
Q6MZP7,Q86Y01,0.333
Q6MZT1,Q9NY12,0.333
Q6MZW2,Q8NGY5,0.333
Q6NSI8,Q8WYB5,0.333
Q6NSJ5,Q9BXU2,0.333
Q6NSX1,Q9UBC9,0.333
Q6NT32,Q9UBH0,0.333
Q6NUI1,Q6ZNB5,0.333
Q6NUJ1,Q8IWG1,0.333
Q6NUJ1,Q9NX77,0.333
Q6NUQ4,Q9Y478,0.333
Q6NUS8,Q9UJX2,0.333
Q6NVH7,Q9ULW3,0.333
Q6NVV0,Q9H8S5,0.333
Q6NW29,Q8NCS4,0.333
Q6NWY9,Q9NQC8,0.333
Q6NXP0,Q9NSI2,0.333
Q6NXR0,Q9GZM6,0.333
Q6NXS1,Q8IXH6,0.333
Q6NXT1,Q8N7J2,0.333
Q6NXT4,Q92988,0.333
Q6NYC1,Q6ZRI8,0.333
Q6NYC8,Q9UBS0,0.333
Q6NZ36,Q96Q06,0.333
Q6NZ67,Q8N0Z2,0.333
Q6NZY7,Q8IYL2,0.333
Q6P047,Q8WWZ1,0.333
Q6P087,Q9UKF2,0.333
Q6P1J6,Q9BTW9,0.333
Q6P1K8,Q9P2X3,0.333
Q6P1L5,Q9H114,0.333
Q6P1N0,Q8N5Y8,0.333
Q6P1N9,Q9Y2B4,0.333
Q6P1Q0,Q86W74,0.333
Q6P1Q9,Q8N661,0.333
Q6P2D8,Q9NVM6,0.333
Q6P2E9,Q9BXA9,0.333
Q6P2H8,Q8IYX8,0.333
Q6P2I3,Q96AY4,0.333
Q6P2S7,Q9P202,0.333
Q6P387,Q6P4I2,0.333
Q6P3S6,Q8NGC2,0.333
Q6P4F7,Q8TAE7,0.333
Q6P4F7,Q8WXA3,0.333
Q6P4I2,Q9Y6B2,0.333
Q6P4Q7,Q8NGJ7,0.333
Q6P4R8,Q8NEA5,0.333
Q6P575,Q9NPJ3,0.333
Q6P589,Q96KN3,0.333
Q6P5S2,Q9BPZ7,0.333
Q6P6B1,Q8N3A8,0.333
Q6P988,Q8N8L6,0.333
Q6P9A2,Q9H340,0.333
Q6P9A3,Q9BSJ8,0.333
Q6P9B9,Q9BYX7,0.333
Q6P9F0,Q9UDX4,0.333
Q6P9F5,Q92820,0.333
Q6P9F7,Q9ULI0,0.333
Q6P9G9,Q9UHC7,0.333
Q6PCB0,Q8WU08,0.333
Q6PCB5,Q8IXQ5,0.333
Q6PCD5,Q9Y6M1,0.333
Q6PEV8,Q9Y5H8,0.333
Q6PEW0,Q96ET8,0.333
Q6PEY0,Q9NQ34,0.333
Q6PEY2,Q8NBF2,0.333
Q6PGP7,Q96II8,0.333
Q6PH81,Q9BYZ6,0.333
Q6PH85,Q8N112,0.333
Q6PHR2,Q70HW3,0.333
Q6PI47,Q8NHP6,0.333
Q6PI48,Q9Y5G0,0.333
Q6PI98,Q8NAT2,0.333
Q6PIJ6,Q9Y6G5,0.333
Q6PIL6,Q8N239,0.333
Q6PIU2,Q9BY64,0.333
Q6PIY7,Q8NGJ5,0.333
Q6PJ21,Q8N4S7,0.333
Q6PJF5,Q9BZ19,0.333
Q6PJG9,Q99538,0.333
Q6PJG9,Q9BWD1,0.333
Q6PJT7,Q9UKP5,0.333
Q6PK81,Q8N4F0,0.333
Q6Q8B3,Q9BRL7,0.333
Q6QN14,Q9H257,0.333
Q6QN14,Q9NTG7,0.333
Q6RW13,Q96KD3,0.333
Q6S5H5,Q9Y446,0.333
Q6S8J3,Q9NWS0,0.333
Q6SPF0,Q86YH6,0.333
Q6T311,Q9Y5Z9,0.333
Q6T4P5,Q9P270,0.333
Q6TDP4,Q8N6F7,0.333
Q6U841,Q6UWI4,0.333
Q6UB99,Q8IY84,0.333
Q6UE05,Q9HBI5,0.333
Q6UVM3,Q9BQ50,0.333
Q6UW15,Q86SE5,0.333
Q6UW49,Q86VP1,0.333
Q6UW78,Q9HBG7,0.333
Q6UWB1,Q9NS69,0.333
Q6UWE3,Q96P68,0.333
Q6UWI2,Q86V59,0.333
Q6UWL6,Q96RY7,0.333
Q6UWN0,Q86WC4,0.333
Q6UWN5,Q96KC8,0.333
Q6UWN8,Q8N7C7,0.333
Q6UWP2,Q9Y5Z6,0.333
Q6UWX4,Q9HCJ1,0.333
Q6UX53,Q9P0S9,0.333
Q6UXC1,Q8N688,0.333
Q6UXG2,Q9H6R6,0.333
Q6UXG3,Q8NGS5,0.333
Q6UXH1,Q8IVP5,0.333
Q6UXH1,Q96Q27,0.333
Q6UXN2,Q9H8T0,0.333
Q6UXN7,Q9UBZ9,0.333
Q6UXN8,Q8IY95,0.333
Q6UXN8,Q8WXD0,0.333
Q6UXT8,Q9H1M0,0.333
Q6UXV4,Q86UX6,0.333
Q6UXZ3,Q712K3,0.333
Q6UY11,Q9NTK1,0.333
Q6UY18,Q9BRR6,0.333
Q6UYE1,Q9BZZ5,0.333
Q6V0L0,Q9Y6X8,0.333
Q6V702,Q9BSK2,0.333
Q6V702,Q9ULZ1,0.333
Q6VEQ5,Q9H2A9,0.333
Q6VN20,Q9NX94,0.333
Q6VVB1,Q9Y261,0.333
Q6VVX0,Q8N972,0.333
Q6W0C5,Q9NVD7,0.333
Q6W3E5,Q6ZTU2,0.333
Q6WCQ1,Q99743,0.333
Q6XD76,Q9P031,0.333
Q6XE38,Q86V86,0.333
Q6XYQ8,Q969E2,0.333
Q6Y288,Q8NFB2,0.333
